,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06019006401,3710.0,0.0
06019006402,1390.0,0.0
06019006403,1874.0,24.0
06019006500,2461.0,0.0
06019006601,2987.0,10.0
06019006602,1448.0,0.0
06019006700,1797.0,0.0
06019006801,3069.0,0.0
06019006802,1080.0,0.0
06019006900,950.0,0.0
06019007002,1463.0,0.0
06019007003,2362.0,14.0
06019007004,1630.0,0.0
06019007100,2124.0,0.0
06019007201,2870.0,0.0
06019007202,1500.0,23.0
06019007300,1858.0,2.0
06019007400,1005.0,0.0
06019007500,1613.0,26.0
06019007600,1518.0,11.0
06019007700,1440.0,0.0
06019007800,2656.0,306.0
06019007900,968.0,0.0
06019008000,1927.0,0.0
06019008100,1687.0,0.0
06019008200,2144.0,46.0
06019008301,1011.0,23.0
06019008302,1927.0,52.0
06019008401,2041.0,0.0
06019008402,649.0,0.0
06021010100,2782.0,16.0
06021010200,1737.0,5.0
06021010300,806.0,0.0
06021010400,3142.0,7.0
06021010501,1220.0,0.0
06021010502,655.0,2.0
06023000100,1805.0,90.0
06023000200,2177.0,51.0
06023000300,2265.0,9.0
06023000400,1647.0,37.0
06023000500,1686.0,21.0
06023000600,2008.0,13.0
06023000700,2219.0,8.0
06023000800,1953.0,0.0
06023000900,2470.0,8.0
06023001000,2642.0,85.0
06023001100,3659.0,67.0
06023001200,2272.0,46.0
06023010101,754.0,0.0
06023010102,996.0,9.0
06023010200,1189.0,7.0
06023010300,1802.0,6.0
06023010400,1480.0,19.0
06023010501,2321.0,0.0
06023010502,2095.0,25.0
06023010600,991.0,0.0
06023010700,2687.0,36.0
06023010800,2081.0,8.0
06023010900,2945.0,7.0
06023011000,1612.0,8.0
06023011100,1798.0,1.0
06023011200,1472.0,2.0
06023011300,3008.0,2.0
06025010100,1532.0,4.0
06025010200,835.0,12.0
06025010300,376.0,0.0
06025010400,1717.0,63.0
06025010500,1884.0,28.0
06025010600,2294.0,6.0
06025010700,1268.0,32.0
06025010800,538.0,0.0
06025010900,2276.0,19.0
06025011000,3181.0,0.0
06025011100,1266.0,18.0
06025011201,1368.0,0.0
06025011202,1512.0,0.0
06025011300,1696.0,24.0
06025011400,1067.0,21.0
06025011500,1532.0,56.0
06025011600,2256.0,129.0
06025011700,2078.0,10.0
06025011801,1631.0,0.0
06025011802,2028.0,6.0
06025011803,523.0,8.0
06025011900,1225.0,6.0
06025012000,3023.0,108.0
06025012100,1914.0,94.0
06025012200,2324.0,67.0
06025012301,265.0,0.0
06025012302,484.0,13.0
06025012400,258.0,0.0
06025012500,853.0,23.0
06027000100,1216.0,13.0
06027000200,788.0,8.0
06027000300,1228.0,15.0
06027000400,2296.0,9.0
06027000500,1096.0,4.0
06027000600,961.0,3.0
06027000700,299.0,0.0
06029000101,3137.0,42.0
06029000102,1211.0,10.0
06029000200,2431.0,26.0
06029000300,1396.0,43.0
06029000400,1074.0,60.0
06029000503,1546.0,0.0
06029000504,1718.0,27.0
06029000505,2047.0,0.0
06029000506,529.0,0.0
06029000507,733.0,0.0
06029000600,1977.0,162.0
06029000700,2118.0,12.0
06029000800,1743.0,55.0
06029000902,1514.0,40.0
06029000903,1547.0,5.0
06029000904,1478.0,45.0
06029000905,815.0,6.0
06029000906,1518.0,4.0
06029000907,839.0,0.0
06029000908,2290.0,50.0
06029000909,1104.0,0.0
06029000910,3408.0,0.0
06029001000,1965.0,6.0
06029001101,1299.0,63.0
06029001102,1728.0,36.0
06029001103,930.0,5.0
06029001201,804.0,68.0
06029001202,1414.0,99.0
06029001300,1603.0,157.0
06029001400,1743.0,134.0
06029001500,626.0,32.0
06029001600,422.0,25.0
06029001700,2211.0,13.0
06029001801,2321.0,21.0
06029001802,2653.0,32.0
06029001901,1647.0,45.0
06029001902,1711.0,43.0
06029002000,1469.0,46.0
06029002100,904.0,23.0
06029002200,1229.0,73.0
06029002301,2147.0,68.0
06029002302,621.0,10.0
06029002400,888.0,11.0
06029002500,1530.0,113.0
06029002600,935.0,19.0
06029002700,1845.0,25.0
06029002804,864.0,0.0
06029002806,1173.0,7.0
06029002807,1872.0,0.0
06029002808,3434.0,33.0
06029002811,1126.0,12.0
06029002812,1960.0,137.0
06029002813,1743.0,22.0
06029002814,1743.0,13.0
06029002815,1655.0,5.0
06029002816,2245.0,20.0
06029002817,2469.0,17.0
06029002818,2413.0,46.0
06029002819,2551.0,51.0
06029002820,1696.0,34.0
06029002821,2176.0,7.0
06029002900,2242.0,66.0
06029003000,1774.0,49.0
06029003103,1029.0,42.0
06029003112,2408.0,27.0
06029003113,1414.0,33.0
06029003114,2761.0,59.0
06029003115,1868.0,34.0
06029003121,2532.0,50.0
06029003122,2490.0,72.0
06029003123,2296.0,0.0
06029003124,1846.0,5.0
06029003201,2613.0,8.0
06029003202,2707.0,39.0
06029003203,1111.0,0.0
06029003204,615.0,0.0
06029003302,2409.0,8.0
06029003303,488.0,0.0
06029003304,1045.0,0.0
06029003400,1055.0,6.0
06029003500,2063.0,12.0
06029003600,1496.0,37.0
06029003700,1023.0,0.0
06029003803,1248.0,0.0
06029003804,1877.0,18.0
06029003805,1998.0,0.0
06029003806,916.0,8.0
06029003807,1664.0,15.0
06029003808,1828.0,0.0
06029003809,2449.0,4.0
06029003810,1202.0,0.0
06029003811,851.0,0.0
06029003812,1723.0,9.0
06029003813,1035.0,0.0
06029003900,222.0,0.0
06029004000,1103.0,0.0
06029004101,1367.0,0.0
06029004102,1205.0,10.0
06029004200,258.0,0.0
06029004301,1239.0,6.0
06029004302,0.0,0.0
06029004401,2094.0,20.0
06029004402,1291.0,6.0
06029004500,1040.0,6.0
06029004601,0.0,0.0
06029004602,1537.0,0.0
06029004700,2386.0,8.0
06029004800,1557.0,9.0
06029004901,1373.0,23.0
06029004902,2390.0,0.0
06029005000,2734.0,6.0
06029005103,873.0,13.0
06029005104,530.0,0.0
06029005201,1542.0,42.0
06029005202,2690.0,24.0
06029005300,656.0,0.0
06029005401,2497.0,16.0
06029005402,2091.0,0.0
06029005403,2993.0,20.0
06029005404,3018.0,9.0
